"id"|"title"|"body"|"category"|"tags"|"date"|"image"
"1"|"„Elektrodistribucija“ upozorava građane i kupce električne energije"|"<p><strong>Zbog trenutnih, nepovoljnih metereoloških uslova: jak vjetar, snježne padavine i niske temperature, Podružnica „Elektrodistribucija“ Bihać, upozorava građane i kupce električne energije da samoinicijativno ne prilaze i ne intervenišu kod kvarova i havarija na elektroenergetskim objektima i postrojenjima, te na vodovima koji eventualno puknu i padnu sa stubova ili dobiju nedozvoljen provjes u odnosu na teren ili okolne objekte.</strong> Takođe zbog povećanog vodostaja rijeka može doći do plavljenja domaćinstava i mjernih mjesta pozivamo da građani sve takve slučajeve i uočene kvarove odmah prijave Službi za odnose sa javnošću i informisanje kupaca, putem besplatne telefonske linije broj: 080 020 134, ili najbližoj Poslovnoj jedinici distribucije na naplatnim mjestima u PJ Cazin, Bihać, Bužim, Velika Kladuša, Bosanska Krupa, Bosanski Petrovac, Ključ i Sanski Most Podružnice ED Bihać. <em>(Izvor: mojusk.ba)</em></p>"|"USK"|"cazin, električna energija, elektrodistribucija, upozorenje gradjanima, usk"|"1494930955"|"001.jpg"
"2"|"”Zvijezda možeš biti ti”"|"<p style=""text-align: justify;""><strong>Potraga za novom bosanskohercegovačkom zvijezdom popularnog muzičkog showa “Zvijezda možeš biti ti” u BiH i dalje traje. Ekipa showa i dalje vrijedno putuje gradovima širom BiH u potrazi za budućom pjevačkom zvijezdom.</strong></p><p style=""text-align: justify;""><img class=""alignnone size-full wp-image-421965"" src=""https://www.cazin.net/wp-content/uploads/2017/04/INM_9241-702x336hhhhhiii.jpg"" alt="""" width=""702"" height=""336"" /></p><p style=""text-align: justify;"">Ovog puta posjetili su Sanski Most i predivni ambijent bazena <strong>“Vodeni park”</strong> koji je bio <strong>domaćin audicije.</strong> Ovaj show program veoma je popularan i u našem gradu, čemu svjedoči i <strong>veliki broj zainteresovanih kandidata</strong> koji su nastupili na audiciji.</p><p style=""text-align: justify;""><img class=""alignnone size-full wp-image-421966"" src=""https://www.cazin.net/wp-content/uploads/2017/04/INM_9246-702x336ggggiii.jpg"" alt="""" width=""702"" height=""336"" /></p><p style=""text-align: justify;"">Ovo je ujedno bila i prilika da se posjetitelji upoznaju sa kompleksom bazena “Vodeni park” i svim njegovim mogućnostima kada su u pitanju različite aktivnosti, događaji, svadbe za koje je posebno izgrađen<strong> “Event salon”, jedinstven u Bosni i Hercegovini.</strong></p><p style=""text-align: justify;"">Fantastični žiri u sastavu <strong>Enes Begović, Hanka Paldum i Fahrudin Pecikoza</strong>, uz nepnovljivog <strong>Fikreta Hodžića</strong>, imali su dosta posla, ali nisu krili ni zadovoljstvo viđenim. Nakon Sanskog Mosta slijede audicije u drugim gradovima, a samo najbolji će ući u uži izbor i izboriti <strong>mogućnost nastupa u showu koji s emitovanjem kreće na jesen 2017.godine.</strong></p><p style=""text-align: justify;""><img class=""alignnone size-full wp-image-421967"" src=""https://www.cazin.net/wp-content/uploads/2017/04/INM_9249-702x336hohhoho.jpg"" alt="""" width=""702"" height=""336"" /></p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""> </p><p style=""text-align: justify;"">(Izvor:inmedia.ba)</p>"|"SHOWBIZZ"|"sanski most, show, zvijezda možeš biti ti"|"1494935697"|"002.jpg"
"3"|"“TI SI LUD KAKO PJEVAŠ SA 16 GODINA”: Armin Jusufović razvalio ali ovakve komentare žirija nije očekivao!"|"<p style=""text-align: justify;""><strong>U četvrtak je nastavljeno snimanje četvrtog kruga i ponovo je bilo jako burno a mnogi takmičari su završili u baražu.</strong></p><p style=""text-align: justify;"">Armin Jusufović iz Tuzle ponovo je sasvim očekivano raspametio žiri Zvezda Granda. On je jedini taj dan prošao direktno u peti krug dok su svi ostali morali u baraž.</p><p style=""text-align: justify;"">Nakon duela sa Petrom Vasićem, dobio je svih sedam glasova žirija.</p><p style=""text-align: justify;"">Lukas se šokirao nakon njegovom nastupa jer nije mogao da vjeruje da neko ovako dobro pjeva.</p><p style=""text-align: justify;"">“Ti si lud kako pjevaš sa 16 godina, ovo je bilo za 77 glasova a ne 7” , rekao je Lukas.</p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""><em>(Izvor: e-turneja.com)</em></p>"|"SHOWBIZZ"|"armin jusufović, komentari, takmičenje, zvezde granda"|"1494052861"|"003.jpg"
"4"|"“Snaga oprosta”: Otac zagrlio vozača koji mu je automobilom ubio sina"|"<p style=""text-align: justify;""><strong>Karl Sisson zagrlio je vozača koji mu je usmrtio sina (9). Okupljeni kažu kako je prizor bio vrlo emocionalan i kako je Karl tim činom htio pokazati da je vozaču oprostio.</strong></p><p style=""text-align: justify;"">Josiah Sisson je na Badnjak s porodičnim prijateljima gledao božićna svjetla na križanju ulica u Springwoodu u Australiji.</p><p style=""text-align: justify;""><strong>Na njega je naletio automobilom Adrian Murray (24). Dječak je završio u bolnici gdje je umro u utorak.</strong></p><p style=""text-align: justify;"">Porodica dječaka je rekla kako je spremna oprostiti Adrianu. Sreli su se na misi u crkvi. Pastor Peter Field je medijima ispričao kako je Murray na kraju mise vidio Karla te kako su se zagrlili. Fotografije su objavljene na Twitteru, a i pod njih piše: <strong>“Snaga oprosta”.</strong></p><p style=""text-align: justify;"">Murray je u četvrtak optužen za opasnu vožnju koja je izazvala smrt dječaka, a očekuje se da će mu uskoro početi suđenje</p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""><strong><em>(Izvor: bh-index.com)</em></strong></p>"|"SVIJET"|"australija, roditelji, saobraćajna nesreća"|"1494930673"|"004.jpg"
"5"|"“Prije četiri godine Lukas mi je rekao kako ne znam da pjevam a sada je tri puta ponovio da sam sjajan”"|"<p><strong>Bosanac Nevzad Čamdžić koji živi u Minhenu napravio je spektakl u Zvezdama Granda! Nakon što je otpjevao Adilovu pjesmu, izveo je i Tifinu i tada je svakom od članova žirija prišao! Naravno, sve je oduševio osim Mariju Šerifović koja ga je posmatrala u čudu, ali je istovremeno zapušio usta Aci Lukasu koji ga je prije četiri godine maltene najurio iz Zvezda Granda uz obrazloženje da ne zna da pjeva.</strong></p><p>“Sa Lukasom se nisam raspravljao prije četiri godine ali sam tražio da mi iznese argument zbog čega ja to ne znam pjevam, međutim, tačan argument nije imao. On je velika zvijezda i ja ga poštujem, ali je sada tri puta ponovio koliko sam sjajan i kako njima treba paket, a to sam upravo ja. Praktično je samom sebi dao autogol jer je demantovao svoje riječi od prije nekoliko godina” , kaže Nevzad i dodaje:</p><p>“Mnogi kandidati dođu tamo i imaju toliki strah da ne znaju izgovoriti svoje ime, plaše se žirija, kao da su oni aždaje. Ja nisam ni gledao mi je dao glas, bio sam samo koncentrisan na pjevanje i svoj nastup. Ne vidim svrhu doći na scenu Granda i da drhtim od treme i straha, zašto su ljudi koji sjede u onim stolicama i glasaju bolji od mene, već 15 godina se bavim ovim poslom i nemam namjeru sa odustanem” , završava Nevzad koji za sebe kaže da je muška Jelena Karleuša.</p><p><em><strong>(Izvor: e-turneja.com)</strong></em></p>"|"Magazin, SHOWBIZZ"|"nevzad, obn tv, zvezde granda"|"1494931069"|""
"6"|"“Pretty Little Liars”: Lucy Hale je otkrila neke nevjerovatne spoilere o Ariji"|"<p>Finalne epizode serije “Pretty Little Liars” su konačno pred nama! Iako su se glumci već oprostili od voljenog gradića Rosewooda, oni ne zaboravljaju na fanove i rado dijele spoilere iz epizoda koje ćemo tek gledati.</p><p>Lucy Hale je nedavno otkrila kakva je Aria, lik koji glumi, u posljednjim epizodama, a na osnovu njenih riječi mogli bi da pomislimo i da je ona Uber A.</p><p> </p><p>– Ona radi neke lude stvari. Stavlja na kocku svoja prijateljstva i veze, pa vi nekada pomislite ‘na čijoj strani je ona?’ – rekla je Lucy u intervjuu za Huffington Post. Ona je otkrila i da će se devojke nalaziti u nekim “život ili smrt” situacijama, a da će “mala Aria” po prvi put biti protiv svih njih. Stvari postaju zaista uvrnute, zar ne?</p><p> </p><p>Izvor: J-14.com</p>"|"TEEN"|"aria, lucy haale, pretty little liars"|"1494935669"|"006.jpg"
"7"|"“Pali” policajci, carinici i špediteri: Iz BiH u Hrvatsku i obratno švercali auta, namještaj, meso, rakiju…"|"<p style=""text-align: justify;""><strong>Nakon više od pet godina, koliko je proteklo od hapšenja i početka istrage, na sudu u Osijeku izrečena je nepravomoćna presuda za 26 osoba koje je USKOK optužio da su bili dio velikog lanca krijumčara, među kojima je bilo i carinskih službenika, policajaca i špeditera, piše Jutarnji list.</strong></p><p style=""text-align: justify;"">Teretilo ih se da su godinama učestvovali u švercanju različite robe iz BiH u Hrvatsku i obrnuto preko graničnog prijelaza u Staroj Gradišci. Konkretno, da su uzimali i davali mito, omogućavali prijenos robe bez carinske kontrole i naplate carinskih davanja, pri čemu su se, prema USKOK-ovoj optužnici, <strong>između dviju država švercali automobili, tende, vino, korišteni namještaj, bijela tehnika, svježe meso, rakija, keramičke pločice, PVC stolarija, rabljeni bicikli, cigarete...</strong></p><p style=""text-align: justify;"">Od početka istrage i hapšenja pojedinih osumnjičenika do početka suđenja proteklo je gotovo pet godina. Istraga je u početku obuhvatila 44 osobe od kojih je 35 optuženo, a devetorica su se s USKOK-om nagodila na pripremnim ročištima. Na suđenju koje im je počelo 15. septembra 2016. tako se našlo njih 26.</p><p style=""text-align: justify;""><strong>Zanimljivo, svim osuđenima izrečene su ili uslovne zatvorske kazne ili kazne zatvora koje su im zamijenjene radom za opće dobro.</strong></p><p style=""text-align: justify;"">Tako je, primjerice, prvookrivljeni špediter Patrik Samardžić osuđen na 5 mjeseci zatvora, uslovno na godinu dana, a drugookrivljeni carinik Zvonimir Matokanović na godinu dana zatvora koje su mu zamijenjene radom za opće dobro. Samardžić je, primjerice, osuđen jer je jednom prilikom u dogovoru s nepoznatim carinskim službenikom uvezao u Hrvatsku iz BiH 12 kilograma svježega mesa bez carinskog nadzora. Matokanovića se, pak, teretilo da je između ostaloga omogućio jednom državljaninu BiH da u Hrvatsku preveze svoj trkaći automobil na servis i bojenje bez carinske kontrole i dokumentacije. Također je, prema presudi, učestvovao u omogućavanju drugim okrivljenicima prevoženje korištenog namještaja, bijele tehnike i vina preko granice bez carinske kontrole.</p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""><em>(Izvor: jutarnji list)</em></p>"|"BiH"|"bih, hrvatska, šverc"|"1494931237"|"007.jpg"
"8"|"“Nekome je duhovni i financijski centar u Turskoj”"|"<p style=""text-align: justify;""><strong>Krajiškinja Azra Hadžić Bećirspahić nastavlja mali verbalni rat sa načelnikom najmnogoljudnije općine. Prije nekoliko dana je oštro reagirala na izjave Efendića, dok je jučer u svom obraćanju na društvenim mrežama opet jednako hrabro reagovala na optužbe kadra SDA prema predsjedniku njene političke stranke. Ona je na svom fb profilu objavila.</strong></p><p style=""text-align: justify;"">""Nešto razmišljam…Možete živjeti u centru Berlina ili Beča, a mentalitetski se ne odmaći od patrijarhalno uređenih anadolijskih sela sa živopisnim kućama prekrivenim trskom, gdje je specijalitet kuhinje <strong>‘ćufte od živog nepečenog mesa’</strong> ili mlijeko od kobile. Gdje zajedno u jednoj prostoriji obitavaju i čovjek i koza i kokoš.<br /> Možete studirati i završiti fakultet bilo gdje u svijetu i steći titule mr. dr. i šta sve ne, a nikada se ne izdići iznad primitivnih plemenskih običaja i seoskih priča rekla-kazala. Možete čitati knjige samo da bi <strong>‘bili pametni u društvu’</strong>. A možete i pričati o svemu onome što vas se ne tiče.</p><p style=""text-align: justify;"">Možete, također, tijelom biti u Bosni, a da vam je duhovni (i financijski) centar negdje u Aziji. Takvi se u Bosni danas nazivaju <strong>‘evlijama’</strong>.<br /> Možete postati i načelnik najmnogoljudnije općine u BiH, a istovremeno biti zadojeni rasističkom ideologijom.<br /> Kada Vam čovjek čiji su preci poput mongolskih hordi u osvajačkom pohodu dojahali u BiH, čovjek koji i danas kao svoga predsjednika smatra nekog u Ankari i koji svojim postupcima podržava raspad političkog i ekonomskog sistema u BiH kaže da niste dovoljan Bošnjak ne možete, a da se slatko ne nasmijete.<br /> Radončićevi preci, Iliri, su starosjedioci Evrope, za razliku od <strong>‘mongolskih hordi’ </strong>koje su ovdje bili osvajači i pljačkaši.""</p><p style=""text-align: justify;""> </p><p style=""text-align: justify;"">(Izvor:usn.ba)</p>"|"USK"|"azra hadžić bećirspahić, bih, duhovni, financijski, krajiškinja, slajder, turska, usk, život"|"1494080568"|"008.jpg"
"9"|"“Ne tolerišem nasilje u vezama mladih!“: Rad Almedina Ćatića iz Sanskog Mosta među nagrađenima"|"<p style=""text-align: justify;""><strong>Fondacije CURE dodijelila je deset nagrada srednjoškolcima i srednjoškolkama koji/e su </strong><strong>dostavili/e svoje pismene radove povodom konkursa na temu “Ne tolerišem nasilje u </strong><strong>vezama mladih!“</strong></p><p>Nagrade za deset pismenih radova dodijeljene su jučer, 26. aprila, u Sarajevu, a nagradu su<br /> dobili:</p><p>1. Adnan Selimović, Prnjavor,<br /> 2<strong>. Almedin Ćatić, Sanski Most,</strong><br /> 3. Amila Tulić, Zenica,<br /> 4. Darija Marić, Kiseljak,<br /> 5. Darja Hajdukov, Tuzla,<br /> 6. Džana Pivač, Sarajevo,<br /> 7. Hanifa Begović, Gračanica,<br /> 8. Miloš Jokić, Prnjavor,<br /> 9. Mirsada Džinović, Brčko,<br /> 10. Sarah Karihman, Žepče.</p><p style=""text-align: justify;""><img class=""alignnone size-full wp-image-426752"" src=""https://www.cazin.net/wp-content/uploads/2017/04/fondacija-cure1.jpg"" alt="""" width=""957"" height=""638"" /><br />Fondacija CURE je objavila konkurs za srednjoškolce i srednjoškolke da dostave pismene radove na temu<strong> “Ne tolerišem nasilje u vezama mladih!“</strong>, s ciljem da mlade osobe iznesu svoje stavove vezano za nasilje koje se događa mladim osobama u različitim vrstama veza (prijateljskim, porodičnim, ljubavnim itd.) kako bi svojim radom ponudili odgovor na pitanje <strong>kako mlade osobe doživljavaju nasilje, kako se osjećaju i kako djeluju u </strong><strong>svakodnevnim situacijama nasilja</strong> (nasilje na internetu, vršnjačko nasilje, nasilje u ljubavnim odnosima, nasilje na ulici, porodično nasilje i slično).</p><p>Na objavljeni konkurs pristiglo je<strong> sedamdeset pismenih radova iz cijele BiH</strong>. Fondacija CURE je obezbijedila od strane donatora Die Feministishe Friedensorganisation (cfd), da autori i autorice pet nagrađenih pismenih radova dobiju po jedan elektronski uređaj, u ovom slučaju tablet, kao nagradu za svoj angažman, dok je Fond otvoreno društvo podržao ovu inicijativu s dodatnim sredstvima, pa je obezbijeđeno još dodatnih pet <strong>elektronskih uređaja (tableta)</strong>.<br /><img class=""alignnone size-full wp-image-426754"" src=""https://www.cazin.net/wp-content/uploads/2017/04/fondacija-cure2.jpg"" alt="""" width=""957"" height=""638"" /><br />Fond otvoreno društvo je podržao ovu inicijativu, nakon što su u Fondaciji CURE došli na ideju da traže od pojedinaca/ki, organizacija/fondacija/ambasada, poslovnih subjekata da podrže ovu inicijativu te da obezbijede jedan ili više tableta kako bi uspjeli nagraditi što veći broj mladih osoba koje su se odvažile i kreirale fenomenalne pismene radove.</p><p><strong>Radovi koji su izabrani kao nagrađeni bit će objavljeni na društvenim mrežama i web </strong><strong>stranicama Fondacije CURE.</strong> Nakon objavljenih pismenih radova planira se raditi s mladim osobama da bi se kreirao performans/monolog u kojem će mlade osobe na sceni pričati i/ili čitati nagrađene pismene radove na temu “Ne tolerišem nasilje u vezama mladih!""</p><p style=""text-align: justify;""><img class=""alignnone size-full wp-image-426757"" src=""https://www.cazin.net/wp-content/uploads/2017/04/fondacija-cure.jpg"" alt="""" width=""957"" height=""638"" /></p><p style=""text-align: justify;""><em>(Cazin.NET)</em></p>"|"USK"|"almedin ćatić, fondacija cure, konkurs, nasilje, sanski most, veze"|"1494935781"|"https://www.cazin.net/wp-content/uploads/2017/01/009.jpg"
"10"|"“NE IDEM VIŠE NA GRAND”: Bišćanin Elvin Čavkić izbačen!"|"<p style=""text-align: justify;""><strong>Jučer u Grandovom studiju nastavljeno je snimanje četvrtog kruga, a još jedan favorit publike je izbačen, i to na veoma čudan način.</strong></p><p style=""text-align: justify;"">Naime, Elvin Čavkić našao se u duelu sa Stefanom Petrovićem Kosmajcem, a nakon njihovim nastupa nije bilo puno glasova, tačnije <strong>Elvin je dobio 2, a Kosmajac 3.</strong></p><p style=""text-align: justify;"">Kosmajac je priznao da je noć prije snimanja radio svadbu, a žiri ga je žestoko napao zbog toga, ali <strong>kad je došao red da komentarišu Elvinu niko od žirija nije rekao šta nije bilo dobro nego su kao i uvijek pričali o nekim drugim nebitnim temama.</strong></p><p style=""text-align: justify;"">U baražu Kosmajac je prošao dalje iako je bio kritikovan dok je Elvin ispao. Nakon što je ispao oglasio se i na fejsbuku i poručio da više neće ići na Grand.</p><p style=""text-align: justify;""><em>“Dragi moji, nažalost nisam uspio da se plasiram u 5. krug takmičenja “Zvezde Granda”. Situacija je i više nego čudna. Prezadovoljan sam s obe pjesme koje sam otpjevao, a “stručni” žiri nije mogao da mi kaže šta to nije valjalo i gdje sam griješio, pa su se okrenuli ka drugoj temi. U svakom slučaju sam zadovoljan svojim uspjehom i dojmom koji sam ostavio i što se tiče takmičenja, ovdje stavljam tačku, ali ubrzo očekujte nešto novo jer ovdje nije kraj. Još nas puno lijepih pjesama i druženja čeka. A Vama dragi moji od srca hvala na ogromnoj podršci. Ljubim Vas”</em> , napisao je <strong>Elvin.</strong></p><p style=""text-align: justify;""> </p><p style=""text-align: justify;""><em>(Izvor: e-turneja.com)</em></p><p> </p>"|"SHOWBIZZ"|"bihać, elvin čavkić, slajder, takmičenje, zvezde granda"|"1493960759"|"010.jpg"